scenario,seed,concurrency,tokens,mode,frames,block_size,submitted,completed,capacity_rejected,rejection_rate,weighted_internal_fragmentation,peak_allocated_slots,swap_in_pages,swap_out_pages
mixed,42,32,0,paged,16,8,32,22,10,0.3125,0.41720085470085466,128,0,0
mixed,42,32,0,swap,16,8,32,32,0,0.0,0.36567982456140347,208,331,350
mixed,43,32,0,contiguous,16,8,32,6,26,0.8125,0.8039772727272727,128,0,0
mixed,43,32,0,paged,16,8,32,15,17,0.53125,0.3648648648648649,128,0,0
mixed,43,32,0,swap,16,8,32,32,0,0.0,0.34004629629629635,272,382,401
mixed,44,32,0,contiguous,16,8,32,5,27,0.84375,0.730410447761194,128,0,0
mixed,44,32,0,paged,16,8,32,17,15,0.46875,0.3952702702702703,128,0,0
mixed,44,32,0,swap,16,8,32,32,0,0.0,0.3663522012578616,256,355,374
mixed,42,32,0,contiguous,32,8,32,11,21,0.65625,0.8135190217391304,256,0,0
mixed,42,32,0,paged,32,8,32,32,0,0.0,0.36567982456140347,208,0,0
mixed,42,32,0,swap,32,8,32,32,0,0.0,0.36567982456140347,208,0,0
mixed,43,32,0,contiguous,32,8,32,11,21,0.65625,0.7799258474576272,256,0,0
mixed,43,32,0,paged,32,8,32,31,1,0.03125,0.34073724007561434,256,0,0
mixed,43,32,0,swap,32,8,32,32,0,0.0,0.34004629629629635,272,38,40
mixed,44,32,0,contiguous,32,8,32,9,23,0.71875,0.7580915178571428,256,0,0
mixed,44,32,0,paged,32,8,32,32,0,0.0,0.3663522012578616,256,0,0
mixed,44,32,0,swap,32,8,32,32,0,0.0,0.3663522012578616,256,0,0
capacity_sweep,0,4,8,contiguous,8,4,4,0,4,1.0,0,0,0,0
capacity_sweep,0,4,8,paged,8,4,4,4,0,0.0,0.25,32,0,0
capacity_sweep,0,4,8,swap,8,4,4,4,0,0.0,0.25,32,0,0
capacity_sweep,0,4,16,contiguous,8,4,4,0,4,1.0,0,0,0,0
capacity_sweep,0,4,16,paged,8,4,4,0,4,1.0,0.2142857142857143,32,0,0
capacity_sweep,0,4,16,swap,8,4,4,4,0,0.0,0.15000000000000002,64,103,111
capacity_sweep,0,4,32,contiguous,8,4,4,0,4,1.0,0,0,0,0
capacity_sweep,0,4,32,paged,8,4,4,0,4,1.0,0.2142857142857143,32,0,0
capacity_sweep,0,4,32,swap,8,4,4,4,0,0.0,0.08333333333333337,128,503,527
capacity_sweep,0,4,64,contiguous,8,4,4,0,4,1.0,0,0,0,0
capacity_sweep,0,4,64,paged,8,4,4,0,4,1.0,0.2142857142857143,32,0,0
capacity_sweep,0,4,64,swap,8,4,4,0,4,1.0,0.08333333333333337,144,503,531
capacity_sweep,0,8,8,contiguous,8,4,8,0,8,1.0,0,0,0,0
capacity_sweep,0,8,8,paged,8,4,8,0,8,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,8,8,swap,8,4,8,8,0,0.0,0.25,64,56,64
capacity_sweep,0,8,16,contiguous,8,4,8,0,8,1.0,0,0,0,0
capacity_sweep,0,8,16,paged,8,4,8,0,8,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,8,16,swap,8,4,8,8,0,0.0,0.15000000000000002,128,264,288
capacity_sweep,0,8,32,contiguous,8,4,8,0,8,1.0,0,0,0,0
capacity_sweep,0,8,32,paged,8,4,8,0,8,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,8,32,swap,8,4,8,8,0,0.0,0.08333333333333337,256,1064,1120
capacity_sweep,0,8,64,contiguous,8,4,8,0,8,1.0,0,0,0,0
capacity_sweep,0,8,64,paged,8,4,8,0,8,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,8,64,swap,8,4,8,0,8,1.0,0.08333333333333337,288,1064,1128
capacity_sweep,0,16,8,contiguous,8,4,16,0,16,1.0,0,0,0,0
capacity_sweep,0,16,8,paged,8,4,16,0,16,1.0,0.30000000000000004,32,0,0
capacity_sweep,0,16,8,swap,8,4,16,16,0,0.0,0.25,128,160,184
capacity_sweep,0,16,16,contiguous,8,4,16,0,16,1.0,0,0,0,0
capacity_sweep,0,16,16,paged,8,4,16,0,16,1.0,0.30000000000000004,32,0,0
